Crime Type,Loss Amount,State/Territory,Year
Government Impersonation,"$30,564",Colorado,2017
Hacktivist,$0,Colorado,2017
Harassment/Threats of Violence,"$38,540",Colorado,2017
Health Care Related,$603,Colorado,2017
IPR/Copyright and Counterfeit,"$4,549",Colorado,2017
Identity Theft,"$38,078",Colorado,2017
Investment,"$418,852",Colorado,2017
Lottery/Sweepstakes/Inheritance,"$108,405",Colorado,2017
Malware/Scareware/Virus,"$82,900",Colorado,2017
Misrepresentation,"$136,418",Colorado,2017
No Lead Value,$0,Colorado,2017
Non-payment/Non-Delivery,"$1,615,670",Colorado,2017
Other,"$19,751",Colorado,2017
Overpayment,"$397,413",Colorado,2017
Personal Data Breach,"$132,049",Colorado,2017
Phishing/Vishing/Smishing/Pharming,"$115,388",Colorado,2017
Ransomware,$0,Colorado,2017
Re-shipping,"$3,020",Colorado,2017
Real Estate/Rental,"$1,676,244",Colorado,2017
Spoofing,$0,Colorado,2017
Tech Support,"$144,508",Colorado,2017
Terrorism,$0,Colorado,2017
Social Media,"$296,162",Colorado,2017
Virtual Currency,"$54,972",Colorado,2017
Advanced Fee,"$137,133",Connecticut,2017
BEC/EAC,"$1,698,037",Connecticut,2017
Charity,"$190,075",Connecticut,2017
Civil Matter,"$16,000",Connecticut,2017
Confidence Fraud/Romance,"$1,144,270",Connecticut,2017
Corporate Data Breach,"$737,922",Connecticut,2017
Credit Card Fraud,"$332,013",Connecticut,2017
Crimes Against Children,$100,Connecticut,2017
Criminal Forums,$0,Connecticut,2017
Denial of Service/TDos,$900,Connecticut,2017
Employment,"$151,289",Connecticut,2017
Extortion,"$4,980",Connecticut,2017
Gambling,$0,Connecticut,2017
Government Impersonation,"$1,970",Connecticut,2017
Hacktivist,$0,Connecticut,2017
Harassment/Threats of Violence,"$1,200",Connecticut,2017
Health Care Related,$0,Connecticut,2017
IPR/Copyright and Counterfeit,$146,Connecticut,2017
Identity Theft,"$80,612",Connecticut,2017
Investment,"$292,385",Connecticut,2017
Lottery/Sweepstakes/Inheritance,"$101,333",Connecticut,2017
Malware/Scareware/Virus,"$34,157",Connecticut,2017
Misrepresentation,"$8,999",Connecticut,2017
No Lead Value,$0,Connecticut,2017
Non-payment/Non-Delivery,"$1,018,435",Connecticut,2017
Other,"$8,209",Connecticut,2017
Overpayment,"$102,066",Connecticut,2017
Personal Data Breach,"$746,366",Connecticut,2017
Phishing/Vishing/Smishing/Pharming,"$59,319",Connecticut,2017
Ransomware,"$10,200",Connecticut,2017
Re-shipping,"$11,766",Connecticut,2017
Real Estate/Rental,"$114,138",Connecticut,2017
Spoofing,$0,Connecticut,2017
Tech Support,"$39,542",Connecticut,2017
Terrorism,$744,Connecticut,2017
Social Media,"$187,356",Connecticut,2017
Virtual Currency,"$43,670",Connecticut,2017
Advanced Fee,"$148,329",Delaware,2017
BEC/EAC,"$189,808",Delaware,2017
Charity,"$2,434",Delaware,2017
Civil Matter,"$3,949",Delaware,2017
Confidence Fraud/Romance,"$186,481",Delaware,2017
Corporate Data Breach,$50,Delaware,2017
Credit Card Fraud,"$320,786",Delaware,2017
Crimes Against Children,$0,Delaware,2017
Criminal Forums,$0,Delaware,2017
Denial of Service/TDos,$0,Delaware,2017
Employment,"$79,000",Delaware,2017
Extortion,"$22,199",Delaware,2017
Gambling,$0,Delaware,2017
Government Impersonation,"$16,226",Delaware,2017
Hacktivist,$0,Delaware,2017
Harassment/Threats of Violence,"$33,988",Delaware,2017
Health Care Related,"$7,658",Delaware,2017
IPR/Copyright and Counterfeit,"$3,581",Delaware,2017
Identity Theft,"$119,880",Delaware,2017
Investment,"$226,615",Delaware,2017
Lottery/Sweepstakes/Inheritance,$800,Delaware,2017
Malware/Scareware/Virus,"$4,793",Delaware,2017
Misrepresentation,"$23,294",Delaware,2017
No Lead Value,$0,Delaware,2017
Non-payment/Non-Delivery,"$514,601",Delaware,2017
Other,"$2,305",Delaware,2017
Overpayment,"$131,934",Delaware,2017
Personal Data Breach,"$59,065",Delaware,2017
Phishing/Vishing/Smishing/Pharming,"$93,380",Delaware,2017
Ransomware,"$7,800",Delaware,2017
Re-shipping,"$17,048",Delaware,2017
Real Estate/Rental,"$22,820",Delaware,2017
Spoofing,$0,Delaware,2017
Tech Support,"$17,019",Delaware,2017
Terrorism,"$4,000",Delaware,2017
Social Media,"$16,912",Delaware,2017
Virtual Currency,"$76,290",Delaware,2017
Advanced Fee,"$627,268",District of Columbia,2017
BEC/EAC,"$270,500",District of Columbia,2017
Charity,$600,District of Columbia,2017
Civil Matter,"$9,500",District of Columbia,2017
Confidence Fraud/Romance,"$331,261",District of Columbia,2017
Corporate Data Breach,$0,District of Columbia,2017
Credit Card Fraud,"$3,328",District of Columbia,2017
Crimes Against Children,$0,District of Columbia,2017
Criminal Forums,$0,District of Columbia,2017
Denial of Service/TDos,$0,District of Columbia,2017
Employment,"$32,959",District of Columbia,2017
Extortion,"$173,576",District of Columbia,2017
Gambling,$0,District of Columbia,2017
Government Impersonation,"$367,720",District of Columbia,2017
Hacktivist,$0,District of Columbia,2017
Harassment/Threats of Violence,"$14,153",District of Columbia,2017
Health Care Related,$180,District of Columbia,2017
IPR/Copyright and Counterfeit,"$1,085",District of Columbia,2017
Identity Theft,"$3,442",District of Columbia,2017
Investment,"$190,291",District of Columbia,2017
Lottery/Sweepstakes/Inheritance,"$208,797",District of Columbia,2017
Malware/Scareware/Virus,$0,District of Columbia,2017
Misrepresentation,"$13,635",District of Columbia,2017
No Lead Value,$0,District of Columbia,2017
Non-payment/Non-Delivery,"$188,162",District of Columbia,2017
Other,"$612,904",District of Columbia,2017
Overpayment,"$527,268",District of Columbia,2017
Personal Data Breach,"$50,593",District of Columbia,2017
Phishing/Vishing/Smishing/Pharming,"$25,037",District of Columbia,2017
Ransomware,$0,District of Columbia,2017
Re-shipping,$0,District of Columbia,2017
Real Estate/Rental,"$114,424",District of Columbia,2017
Spoofing,$0,District of Columbia,2017
Tech Support,"$23,358",District of Columbia,2017
Terrorism,$0,District of Columbia,2017
Social Media,"$422,331",District of Columbia,2017
Virtual Currency,"$302,542",District of Columbia,2017
Advanced Fee,"$2,321,023",Florida,2017
BEC/EAC,"$16,351,056",Florida,2017
Charity,"$17,807",Florida,2017
Civil Matter,"$640,346",Florida,2017
Confidence Fraud/Romance,"$8,402,574",Florida,2017
Corporate Data Breach,"$2,657,053",Florida,2017
Credit Card Fraud,"$1,924,173",Florida,2017
Crimes Against Children,"$1,050",Florida,2017
Criminal Forums,$0,Florida,2017
Denial of Service/TDos,$749,Florida,2017
Employment,"$1,404,146",Florida,2017
Extortion,"$474,604",Florida,2017
Gambling,$0,Florida,2017
Government Impersonation,"$334,502",Florida,2017
Hacktivist,$0,Florida,2017
Harassment/Threats of Violence,"$668,163",Florida,2017
Health Care Related,"$23,775",Florida,2017
